ids,label,phaidra
"['https://data.cerl.org/thesaurus/cnp01145455', 'https://viaf.org/viaf/70154678/', 'https://www.wikidata.org/wiki/Q1435322']","Coraduz, Rudolf",https://pid.phaidra.org/vocabulary/BAXT-ZEB2
['https://www.wikidata.org/wiki/Q155669'],Charles IV,https://pid.phaidra.org/vocabulary/YDGH-X7T5
['https://www.wikidata.org/wiki/Q332785'],Persius,https://pid.phaidra.org/vocabulary/7B9W-AKG3
[],"Vossius, Gisbertus",https://pid.phaidra.org/vocabulary/J9TN-0302
[],Widow of Wolfgang Seidlitz,https://pid.phaidra.org/vocabulary/HH2Q-ZGGM
"['https://viaf.org/viaf/102332017/', 'https://www.wikidata.org/wiki/Q29862891', 'https://data.cerl.org/thesaurus/cnp01382206?lang=nl', 'https://isni.org/isni/000000010929551X']","Zini, Pietro Francesco",https://pid.phaidra.org/vocabulary/68EN-4J52
"['https://isni.org/isni/0000000066321609', 'https://data.cerl.org/thesaurus/cnp00125229', 'https://www.wikidata.org/wiki/Q7024607', 'https://viaf.org/viaf/2813152/']","Orlandini, Nicolò",https://pid.phaidra.org/vocabulary/KV2E-HQKQ
[],"Bernardt, Kaspar",https://pid.phaidra.org/vocabulary/DYHS-C2Q9
"['https://data.cerl.org/thesaurus/cnp01365796', 'https://viaf.org/viaf/49375066/', 'https://www.wikidata.org/wiki/Q982707']","Florio, John",https://pid.phaidra.org/vocabulary/SRZZ-XS0M
[],"Haffner, Christoph",https://pid.phaidra.org/vocabulary/GCBT-YY8R
"['https://data.cerl.org/thesaurus/cnp00991474', 'http://viaf.org/viaf/4939800', 'https://www.wikidata.org/wiki/Q3171320', 'https://isni.org/isni/0000000108644044']","Cinqarbres, Jean",https://pid.phaidra.org/vocabulary/HYHG-RZ0F
"['https://viaf.org/viaf/89794074/', 'https://data.cerl.org/thesaurus/cnp00400095', 'https://www.wikidata.org/wiki/Q939889']","Mariana, Juan de",https://pid.phaidra.org/vocabulary/PM2D-A1HB
[],Tycho Brahe's heirs,https://pid.phaidra.org/vocabulary/NN2C-K3TU
['https://www.wikidata.org/wiki/Q7179221'],"Peckius, Petrus the Younger",https://pid.phaidra.org/vocabulary/MVXA-HYKN
['https://data.cerl.org/thesaurus/cnp00478577'],"Schallenberg, Christoph von",https://pid.phaidra.org/vocabulary/5K4G-ZXJX
"['https://data.cerl.org/thesaurus/cnp01414089', 'https://viaf.org/viaf/244820665/', 'https://www.wikidata.org/wiki/Q12357022', 'https://www.deutsche-biographie.de/pnd1016848706.html']","Lónyay, Zsigmond I.",https://pid.phaidra.org/vocabulary/VCK3-370F
"['https://catalogue.bnf.fr/ark:/12148/cb157033803', 'https://d-nb.info/gnd/1028002173', 'https://viaf.org/viaf/71722709/']","Vignal, Pierre",https://pid.phaidra.org/vocabulary/S8GJ-Y0W9
[],"Suffin, Honoré",https://pid.phaidra.org/vocabulary/Z4VS-KP61
"['https://viaf.org/viaf/261805337/', 'https://www.wikidata.org/wiki/Q23719033', 'https://data.cerl.org/thesaurus/cnp00099263']","De Alcalá, Pedro",https://pid.phaidra.org/vocabulary/WQQJ-0GJX
[],Masius,https://pid.phaidra.org/vocabulary/HGWJ-ZZ2S
['https://viaf.org/viaf/166302380/'],"Cauler, Simon",https://pid.phaidra.org/vocabulary/8NKC-YYX5
['https://www.wikidata.org/wiki/Q2857225'],"Caetani, Antonio",https://pid.phaidra.org/vocabulary/JTKM-PYXE
[],Martinus,https://pid.phaidra.org/vocabulary/5NKG-VVW3
['https://www.wikidata.org/wiki/Q183144'],Epictetus,https://pid.phaidra.org/vocabulary/GC1R-EG8N
[],Catharina,https://pid.phaidra.org/vocabulary/YTAJ-CE8K
[],P. Stanislaus,https://pid.phaidra.org/vocabulary/GTA4-BFSB
[],"Van Wyningen, Margareta",https://pid.phaidra.org/vocabulary/VYSR-WR9E
"['https://data.cerl.org/thesaurus/cnp01877284', 'https://www.wikidata.org/wiki/Q835355', 'https://viaf.org/viaf/76326909/']","Gentili, Scipione",https://pid.phaidra.org/vocabulary/CWCQ-15RD
[],"Ungelter, Ursula",https://pid.phaidra.org/vocabulary/TND6-G86B
"['https://data.cerl.org/thesaurus/cnp01003013', 'https://www.wikidata.org/wiki/Q729105', 'https://viaf.org/viaf/31142837/']",Severus of Antioch,https://pid.phaidra.org/vocabulary/5DVJ-N53E
['https://www.jewishvirtuallibrary.org/ma-x0027-or-katan'],"Lucerna, Leo",https://pid.phaidra.org/vocabulary/NMGA-XP39
"['https://www.geschichtewiki.wien.gv.at/Special:URIResolver/?curid=5028', 'https://data.cerl.org/thesaurus/cnp00087196', 'https://viaf.org/viaf/41951877/', 'https://www.wikidata.org/wiki/Q186820']","Becanus, Martin",https://pid.phaidra.org/vocabulary/WPXA-AXAF
"['https://viaf.org/viaf/25501601/', 'https://data.cerl.org/thesaurus/cnp00463473', 'https://www.wikidata.org/wiki/Q1679436']","Tavus, Jacob ben Joseph",https://pid.phaidra.org/vocabulary/VQHT-8JD4
['https://de.wikipedia.org/wiki/Reiner_von_Landau'],"Landau, Reiner von",https://pid.phaidra.org/vocabulary/YJ5N-QF1T
[],M. de Vertematis,https://pid.phaidra.org/vocabulary/SNPC-YCR6
['https://www.wikidata.org/wiki/Q6691'],Homer,https://pid.phaidra.org/vocabulary/B35A-PMK9
[],P. Maximilianus,https://pid.phaidra.org/vocabulary/NPXP-V36S
